ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000138316.11,3,0,0,1,1,3,0,0,5,0,0,4,0,0,0,0,1,1,3,1
ENSG00000166220.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231366.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000166224.17,918,1011,659,560,296,330,1058,693,438,321,713,550,765,147,58,391,657,420,421,345
ENSG00000166228.9,5547,3848,2357,2082,4317,3349,1066,786,512,1330,2671,2314,3009,504,414,1831,2986,3365,1184,1458
ENSG00000285300.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271409.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259267.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000107731.12,126,23,12,10,1,11,21,6,59,15,7,72,25,4,10,12,3,11,53,11
ENSG00000237512.6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198246.9,149,123,106,94,105,80,153,68,74,37,23,137,129,12,9,163,103,126,36,35
ENSG00000279406.1,6,12,2,8,11,20,20,9,4,1,2,13,21,0,0,11,7,6,3,0
ENSG00000107736.21,578,443,702,429,345,357,197,471,74,166,320,162,332,76,89,107,369,203,243,230
ENSG00000223817.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000214688.6,4,1,1,3,0,0,0,0,1,1,0,3,1,0,0,0,0,0,16,0
ENSG00000107738.20,323,114,118,323,5,28,291,13,392,175,42,594,140,7,8,10,47,72,933,94
ENSG00000274824.1,0,1,5,5,1,3,0,5,0,2,0,1,2,0,2,0,0,1,6,0
